key,term_en,translation,options,desc_en,desc_vi,chapter,status,notes
capital expense,capital expense,chi phí đầu tư tài sản,chi phí đầu tư tài sản,major purchase of a functional asset that is expected to last longer than three years or that still has financial value after being fully depreciated,khoản chi lớn để mua một tài sản phục vụ hoạt động có thời gian sử dụng dự kiến trên ba năm hoặc vẫn còn giá trị tài chính sau khi đã được khấu hao hết,Chương 12,approved,Source: glossary.md — Chương 12
capital improvements,capital improvements,cải tạo tài sản,cải tạo tài sản,"major repairs or improvements that add to the life of an asset by improving its longevity, increasing its value or productivity, or extending its usefulness","các sửa chữa hoặc cải tiến lớn giúp kéo dài tuổi thọ của tài sản bằng cách tăng độ bền, tăng giá trị hoặc năng suất, hoặc kéo dài tính hữu dụng của tài sản",Chương 12,approved,Source: glossary.md — Chương 12
closed group,closed group,nhóm đóng,nhóm đóng,"formal, structured group of individuals who have a strict process or specific criteria that applicants must meet before being accepted as members","nhóm chính thức, có cấu trúc, trong đó các cá nhân phải đáp ứng quy trình nghiêm ngặt hoặc các tiêu chí cụ thể trước khi được chấp nhận làm thành viên",Chương 12,approved,Source: glossary.md — Chương 12
creditworthiness,creditworthiness,mức độ tín nhiệm tín dụng,mức độ tín nhiệm tín dụng,lender’s assessment of how reliable a company is in repaying a debt,mức độ đánh giá của bên cho vay về khả năng và độ tin cậy của doanh nghiệp trong việc hoàn trả khoản nợ,Chương 12,approved,Source: glossary.md — Chương 12
debt service,debt service,nghĩa vụ trả nợ,nghĩa vụ trả nợ,"repayment of a loan, including principal and interest","việc hoàn trả một khoản vay, bao gồm cả tiền gốc và tiền lãi",Chương 12,approved,Source: glossary.md — Chương 12
downtime,downtime,thời gian ngừng hoạt động,thời gian ngừng hoạt động,"time when production is not occurring due to repair, restocking inventory, or unscheduled work","khoảng thời gian sản xuất bị gián đoạn do sửa chữa, bảo trì, bổ sung tồn kho hoặc các yếu tố ngoài kế hoạch",Chương 12,approved,Source: glossary.md — Chương 12
ergonomics,ergonomics,công thái học,công thái học,study of designing work environments and tasks to fit human capabilities and improve efficiency and safety,"lĩnh vực nghiên cứu về việc thiết kế công việc, công cụ và môi trường làm việc phù hợp với khả năng con người nhằm nâng cao hiệu quả và an toàn",Chương 12,approved,Source: glossary.md — Chương 12
flat organization,flat organization,tổ chức phẳng,tổ chức phẳng,"organizational structure where owners, executives, or key decision makers interact directly with staff at all levels, with very few if any mid-level managers","cấu trúc tổ chức trong đó chủ sở hữu, nhà quản lý cấp cao hoặc người ra quyết định chính tương tác trực tiếp với nhân viên ở mọi cấp, với rất ít hoặc không có cấp quản lý trung gian",Chương 12,approved,Source: glossary.md — Chương 12
hybrid group,hybrid group,nhóm hỗn hợp,nhóm hỗn hợp,"group of individuals who have a loose and flexible set of criteria for membership and function within a very broad set of guidelines; certain criteria may be required of regular members, but guests are frequently accepted with no long-term commitment expected","nhóm có tiêu chí tham gia linh hoạt, hoạt động trong khuôn khổ rộng; có thể có yêu cầu với thành viên chính thức nhưng cho phép người tham gia tạm thời mà không cần cam kết dài hạn",Chương 12,approved,Source: glossary.md — Chương 12
inventory management,inventory management,quản lý tồn kho,quản lý tồn kho,"business operations that include managing the quantity of inventory units in stock, scheduling and cataloguing replacement inventory, organizing shelf location for unit storage, paying for inventory received, and processing, fulfilling, packaging, and shipping customer orders","các hoạt động kinh doanh bao gồm việc quản lý số lượng đơn vị hàng tồn kho, lập kế hoạch và ghi nhận hàng thay thế, tổ chức vị trí lưu trữ, thanh toán hàng nhận được, và xử lý, hoàn tất, đóng gói và vận chuyển đơn hàng cho khách",Chương 12,approved,Source: glossary.md — Chương 12
line of credit (loc),line of credit (LOC),hạn mức tín dụng (line of credit LOC),hạn mức tín dụng (line of credit LOC),"agreement between a bank and a depositor in which the bank makes available a maximum amount of money the depositor can borrow at any time during the term of the loan; the borrower pays a fee during the term, whether or not there is an outstanding balance, and also pays interest when there is a balance on the loan","thỏa thuận giữa ngân hàng và người gửi tiền, trong đó ngân hàng cung cấp một hạn mức tối đa mà người vay có thể sử dụng bất kỳ lúc nào trong thời hạn vay; người vay trả một khoản phí trong suốt thời hạn, dù có hay không số dư nợ, và đồng thời trả lãi khi có dư nợ",Chương 12,approved,Source: glossary.md — Chương 12
liquidity,liquidity,tính thanh khoản,tính thanh khoản,"measure of a company’s ability to cover its immediate and short-term (i.e., due within one year) debts and obligations",thước đo khả năng của doanh nghiệp trong việc đáp ứng các khoản nợ và nghĩa vụ đến hạn ngay lập tức và trong ngắn hạn (tức là trong vòng một năm),Chương 12,approved,Source: glossary.md — Chương 12
nepotism,nepotism,chủ nghĩa thân hữu,chủ nghĩa thân hữu,hiring family and close friends because of personal relationships rather than for their skill sets,việc tuyển dụng người thân hoặc bạn bè thân thiết dựa trên quan hệ cá nhân thay vì năng lực,Chương 12,approved,Source: glossary.md — Chương 12
networking,networking,xây dựng mạng lưới quan hệ,xây dựng mạng lưới quan hệ,"process of establishing and maintaining bilateral relationship with other people to exchange information, ideas, products or services, and money","quá trình thiết lập và duy trì các mối quan hệ hai chiều với người khác nhằm trao đổi thông tin, ý tưởng, sản phẩm hoặc dịch vụ và tiền",Chương 12,approved,Source: glossary.md — Chương 12
north american industry classification system (naics),North American Industry Classification System (NAICS),hệ thống phân loại ngành Bắc Mỹ (North American Industry Classification System NAICS),hệ thống phân loại ngành Bắc Mỹ (North American Industry Classification System NAICS),"standard used by US federal agencies to collect, analyze, and report statistical information about businesses","hệ thống tiêu chuẩn được các cơ quan liên bang Hoa Kỳ sử dụng để thu thập, phân tích và báo cáo dữ liệu thống kê về doanh nghiệp",Chương 12,approved,Source: glossary.md — Chương 12
open group,open group,nhóm mở,nhóm mở,"informal, loosely organized group of individuals who have no formal process for joining or leaving the group, and who focus on a specific activity or social cause","nhóm không chính thức, tổ chức lỏng lẻo, không có quy trình chính thức để tham gia hoặc rời khỏi, và tập trung vào một hoạt động hoặc mục tiêu xã hội cụ thể",Chương 12,approved,Source: glossary.md — Chương 12
operational capacity,operational capacity,công suất vận hành,công suất vận hành,number of units that can reasonably be expected to be produced within a specified time period,sản lượng có thể đạt được một cách thực tế trong một khoảng thời gian nhất định,Chương 12,approved,Source: glossary.md — Chương 12
operational expenses,operational expenses,chi phí vận hành,chi phí vận hành,"expenses associated with daily, ongoing activities of the business, such as inventory, office supplies, wages, insurance, and utilities","các khoản chi phí liên quan đến hoạt động thường xuyên hàng ngày của doanh nghiệp như hàng tồn kho, vật tư văn phòng, tiền lương, bảo hiểm và tiện ích",Chương 12,approved,Source: glossary.md — Chương 12
operational reserve,operational reserve,dự trữ công suất vận hành,dự trữ công suất vận hành,difference in unit capacity between absolute capacity and operational capacity,phần chênh lệch về công suất đơn vị giữa công suất tối đa tuyệt đối và công suất vận hành,Chương 12,approved,Source: glossary.md — Chương 12
outsourcing,outsourcing,thuê ngoài,thuê ngoài,"hiring an outside company or third party to perform a specific task, job, or process, or to manufacture goods","việc thuê một công ty bên ngoài hoặc bên thứ ba để thực hiện một nhiệm vụ, công việc hoặc quy trình cụ thể, hoặc để sản xuất hàng hóa",Chương 12,approved,Source: glossary.md — Chương 12
pro forma,pro forma,báo cáo tài chính dự kiến,báo cáo tài chính dự kiến,financial statement that shows how much and where monies will be collected and spent in the early stages of business creation,báo cáo tài chính thể hiện số tiền sẽ được thu và chi như thế nào trong giai đoạn đầu của việc hình thành doanh nghiệp,Chương 12,approved,Source: glossary.md — Chương 12
production time,production time,thời gian sản xuất,thời gian sản xuất,amount of time that a machine is actually producing products that are to be sold; also called up time,khoảng thời gian mà máy thực sự sản xuất ra sản phẩm để bán; còn được gọi là thời gian hoạt động (up time),Chương 12,approved,Source: glossary.md — Chương 12
self-performing,self-performing,tự thực hiện,tự thực hiện,when employees do most of the work in a business,trường hợp doanh nghiệp sử dụng nhân sự nội bộ để thực hiện phần lớn công việc thay vì thuê ngoài,Chương 12,approved,Source: glossary.md — Chương 12
total cost of ownership,total cost of ownership,tổng chi phí sở hữu,tổng chi phí sở hữu,"comprehensive cost of owning large capital items, including initial direct costs, operating direct costs, and indirect costs","tổng chi phí toàn diện khi sở hữu tài sản lớn, bao gồm chi phí trực tiếp ban đầu, chi phí vận hành trực tiếp và chi phí gián tiếp",Chương 12,approved,Source: glossary.md — Chương 12
trade association,trade association,hiệp hội ngành,hiệp hội ngành,"group of companies or employees of companies in a specific industry, business structure, or social cause","nhóm các công ty hoặc nhân viên của các công ty trong một ngành cụ thể, một loại hình kinh doanh hoặc một mục tiêu xã hội",Chương 12,approved,Source: glossary.md — Chương 12
professional network,professional network,mạng lưới nghề nghiệp,mạng lưới nghề nghiệp,"network of professional contacts that an individual builds and maintains for career, business, or knowledge exchange purposes","mạng lưới các mối quan hệ nghề nghiệp mà một cá nhân xây dựng và duy trì nhằm phục vụ phát triển sự nghiệp, kinh doanh hoặc trao đổi kiến thức",Chương 12 (bổ sung),approved,Source: glossary.md — Chương 12 (bổ sung)
relationship management,relationship management,quản lý mối quan hệ,quản lý mối quan hệ,"process of building, maintaining, and optimizing relationships with stakeholders such as customers, partners, and employees","quá trình xây dựng, duy trì và tối ưu hóa các mối quan hệ với các bên liên quan như khách hàng, đối tác và nhân viên",Chương 12 (bổ sung),approved,Source: glossary.md — Chương 12 (bổ sung)
network leverage,network leverage,tận dụng mạng lưới,tận dụng mạng lưới,"use of one’s professional network to gain access to resources, information, opportunities, or influence","việc tận dụng các mối quan hệ trong mạng lưới để tiếp cận nguồn lực, thông tin, cơ hội hoặc tạo ảnh hưởng",Chương 12 (bổ sung),approved,Source: glossary.md — Chương 12 (bổ sung)
collaboration strategy,collaboration strategy,chiến lược hợp tác,chiến lược hợp tác,plan outlining how an organization works with partners or stakeholders to achieve shared goals,kế hoạch xác định cách thức một tổ chức hợp tác với đối tác hoặc các bên liên quan nhằm đạt được mục tiêu chung,Chương 12 (bổ sung),approved,Source: glossary.md — Chương 12 (bổ sung)
b corporation,B corporation,doanh nghiệp loại B,doanh nghiệp loại B,"business that meets a very high standard of social and environmental performance, public transparency, and accountability to balance profit with social purpose","doanh nghiệp đáp ứng các tiêu chuẩn rất cao về hiệu quả xã hội và môi trường, tính minh bạch công khai và trách nhiệm giải trình nhằm cân bằng giữa lợi nhuận và mục tiêu xã hội",Chương 13,approved,Source: glossary.md — Chương 13
business purpose,business purpose,mục đích kinh doanh,mục đích kinh doanh,"reason the entrepreneur forms the company and determines who benefits from it, whether it is the entrepreneur, customers, or some other entity","lý do mà doanh nhân thành lập doanh nghiệp và xác định ai là đối tượng hưởng lợi từ doanh nghiệp đó, có thể là doanh nhân, khách hàng hoặc một chủ thể khác",Chương 13,approved,Source: glossary.md — Chương 13
business structure,business structure,loại hình pháp lý của doanh nghiệp,loại hình pháp lý của doanh nghiệp,legal organization of a business; also called entity selection,hình thức tổ chức pháp lý của một doanh nghiệp; còn được gọi là lựa chọn loại hình pháp nhân,Chương 13,approved,Source: glossary.md — Chương 13
c corporation,C corporation,doanh nghiệp loại C,doanh nghiệp loại C,"corporation taxed the corporate level, and then again on the owners’ personal income tax returns if corporate income is distributed to the shareholders as dividends","công ty chịu thuế ở cấp độ doanh nghiệp, và sau đó tiếp tục bị đánh thuế trên tờ khai thuế thu nhập cá nhân của các chủ sở hữu nếu thu nhập của công ty được phân phối cho các cổ đông dưới dạng cổ tức",Chương 13,approved,Source: glossary.md — Chương 13
capital,capital,vốn,vốn,money raised for operating a business,số tiền được huy động để vận hành doanh nghiệp,Chương 13,approved,Source: glossary.md — Chương 13
corporation,corporation,công ty cổ phần,công ty cổ phần,complex business structure created by filing the appropriate documents with the state of incorporation,loại hình doanh nghiệp có cấu trúc pháp lý phức tạp được hình thành bằng cách nộp các tài liệu phù hợp với cơ quan đăng ký thành lập theo quy định của bang,Chương 13,approved,Source: glossary.md — Chương 13
economic nexus,economic nexus,hiện diện kinh tế,hiện diện kinh tế,virtual connection with a state based on sales volume or number of transactions,"mối liên hệ kinh tế với một bang dựa trên doanh số hoặc số lượng giao dịch, làm phát sinh nghĩa vụ thuế tại bang đó",Chương 13,approved,Source: glossary.md — Chương 13
enterprise risk management,enterprise risk management,quản trị rủi ro doanh nghiệp,quản trị rủi ro doanh nghiệp,integrated cross-disciplinary approach to monitoring risk,"phương pháp quản trị rủi ro tổng thể, tích hợp trên toàn doanh nghiệp nhằm nhận diện, đánh giá và kiểm soát rủi ro",Chương 13,approved,Source: glossary.md — Chương 13
equity crowdfunding,equity crowdfunding,gọi vốn cộng đồng,gọi vốn cộng đồng,raising of capital through the online sale of securities to the general public,việc huy động vốn thông qua việc bán chứng khoán trực tuyến cho công chúng,Chương 13,approved,Source: glossary.md — Chương 13
financial risk,financial risk,rủi ro tài chính,rủi ro tài chính,starting a new business with insufficient funds to sustain operations over an extended period of time,"rủi ro liên quan đến khả năng tài chính của doanh nghiệp, bao gồm thiếu vốn, dòng tiền không ổn định hoặc không đủ khả năng duy trì hoạt động",Chương 13,approved,Source: glossary.md — Chương 13
for-profit business,for-profit business,doanh nghiệp vì lợi nhuận,doanh nghiệp vì lợi nhuận,business structure designed to create profits that are distributed to the owners,loại hình doanh nghiệp được thiết kế nhằm tạo ra lợi nhuận và phân phối lợi nhuận đó cho các chủ sở hữu,Chương 13,approved,Source: glossary.md — Chương 13
general partnership,general partnership,công ty hợp danh,công ty hợp danh,business created when two or more individuals or entities agree to work together to operate a business for profit,loại hình doanh nghiệp trong đó hai hoặc nhiều thành viên cùng sở hữu và chịu trách nhiệm vô hạn đối với nghĩa vụ của doanh nghiệp,Chương 13,approved,Source: glossary.md — Chương 13
insurance,insurance,bảo hiểm,bảo hiểm,spreading risk over a large number of people (policyholders),việc phân tán rủi ro trên một số lượng lớn các cá nhân (những người tham gia bảo hiểm),Chương 13,approved,Source: glossary.md — Chương 13
legal risk,legal risk,rủi ro pháp lý,rủi ro pháp lý,"risk stemming primarily from a breach of contract, a regulatory violation, and/or the commission of a tort","rủi ro phát sinh chủ yếu từ việc vi phạm hợp đồng, vi phạm quy định pháp luật và/hoặc thực hiện hành vi vi phạm dân sự",Chương 13,approved,Source: glossary.md — Chương 13
limited liability company (llc),limited liability company (LLC),công ty trách nhiệm hữu hạn (limited liability company LLC),công ty trách nhiệm hữu hạn (limited liability company LLC),hybrid of a corporation and a partnership that limits the owners’ liability,"loại hình doanh nghiệp kết hợp đặc điểm của công ty cổ phần và hợp danh, trong đó các chủ sở hữu được hưởng trách nhiệm hữu hạn đối với các nghĩa vụ của doanh nghiệp",Chương 13,approved,Source: glossary.md — Chương 13
limited liability partnership (llp),limited liability partnership (LLP),hợp danh trách nhiệm hữu hạn (limited liability partnership LLP),hợp danh trách nhiệm hữu hạn (limited liability partnership LLP),"business arrangement for professional partnerships, such as law firms or accounting firms, in which partners are licensed professionals, with limited liability for financial obligations related to contracts or torts, but full liability for their own personal malpractice","hình thức tổ chức dành cho các hợp danh chuyên môn như công ty luật hoặc kế toán, trong đó các đối tác là những người có giấy phép hành nghề, có trách nhiệm hữu hạn đối với các nghĩa vụ tài chính liên quan đến hợp đồng hoặc vi phạm dân sự, nhưng chịu trách nhiệm đầy đủ đối với sai sót nghề nghiệp của chính mình",Chương 13,approved,Source: glossary.md — Chương 13
limited partnership (lp),limited partnership (LP),hợp danh hữu hạn (limited partnership LP),hợp danh hữu hạn (limited partnership LP),business arrangement that has at least one general partner and one or more limited partners,hình thức hợp danh có ít nhất một thành viên hợp danh và một hoặc nhiều thành viên góp vốn,Chương 13,approved,Source: glossary.md — Chương 13
not-for-profit organization (nfpo),not-for-profit organization (NFPO),tổ chức phi lợi nhuận (not-for-profit organization NFPO),tổ chức phi lợi nhuận (not-for-profit organization NFPO),business structure that is usually dedicated to furthering a particular social cause or advocacy related to a common shared interest by using its surplus revenues to achieve its ultimate objective,"loại hình tổ chức thường hướng tới việc thúc đẩy một mục tiêu xã hội cụ thể hoặc hoạt động vận động liên quan đến lợi ích chung, bằng cách sử dụng phần doanh thu dư thừa để đạt được mục tiêu cuối cùng",Chương 13,approved,Source: glossary.md — Chương 13
partnership,partnership,hợp danh,hợp danh,"business entity formed by two or more individuals, or partners, each of whom contributes something such as capital, equipment, or skills","loại hình doanh nghiệp được hình thành bởi hai hoặc nhiều cá nhân (các đối tác), trong đó mỗi người đóng góp một yếu tố như vốn, thiết bị hoặc kỹ năng",Chương 13,approved,Source: glossary.md — Chương 13
privately held corporation,privately held corporation,công ty tư nhân (không niêm yết),công ty tư nhân (không niêm yết),"company that does not allow members of the investing public to own stock; instead, it is owned by the founder’s family or friends, or a private group of investors","công ty không cho phép công chúng đầu tư sở hữu cổ phần; thay vào đó, công ty thuộc sở hữu của gia đình, bạn bè của người sáng lập hoặc một nhóm nhà đầu tư tư nhân",Chương 13,approved,Source: glossary.md — Chương 13
public corporation,public corporation,công ty nhà nước,công ty nhà nước,"quasi-governmental entity, a corporation owned or sponsored by the government","thực thể mang tính bán chính phủ, là công ty do nhà nước sở hữu hoặc tài trợ",Chương 13,approved,Source: glossary.md — Chương 13
publicly held corporation,publicly held corporation,công ty đại chúng,công ty đại chúng,entity in which members of the investing public own the stock,công ty mà công chúng đầu tư nắm giữ cổ phần,Chương 13,approved,Source: glossary.md — Chương 13
s corporation,S corporation,Doanh nghiệp loại S,Doanh nghiệp loại S,"“pass-through” entity, also known as a small corporation, where shareholders report and claim the business’s profits as their own and pay personal income taxes on it","loại hình “chuyển thuế”, còn gọi là công ty nhỏ, trong đó cổ đông khai báo và nhận lợi nhuận của doanh nghiệp như thu nhập cá nhân và nộp thuế thu nhập cá nhân cho khoản đó",Chương 13,approved,Source: glossary.md — Chương 13
sole proprietorship,sole proprietorship,doanh nghiệp tư nhân,doanh nghiệp tư nhân,business entity that is owned and managed by one individual that has very little formal structure and no mandatory filing/registration with the state,"loại hình doanh nghiệp do một cá nhân sở hữu và điều hành, có rất ít cấu trúc chính thức và không yêu cầu đăng ký/báo cáo bắt buộc với nhà nước",Chương 13,approved,Source: glossary.md — Chương 13
regulatory environment,regulatory environment,môi trường pháp lý,môi trường pháp lý,"set of laws, regulations, and policies governing how businesses operate","hệ thống các luật, quy định và chính sách điều chỉnh hoạt động của doanh nghiệp",Chương 13 (bổ sung),approved,Source: glossary.md — Chương 13 (bổ sung)
legal compliance,legal compliance,tuân thủ pháp luật,tuân thủ pháp luật,"adherence to laws, regulations, and industry standards applicable to a business","việc doanh nghiệp tuân thủ các quy định pháp luật, quy chuẩn và tiêu chuẩn ngành có liên quan",Chương 13 (bổ sung),approved,Source: glossary.md — Chương 13 (bổ sung)
ownership structure,ownership structure,cơ cấu sở hữu,cơ cấu sở hữu,distribution of ownership rights and equity among shareholders or owners,cách thức phân bổ quyền sở hữu và vốn cổ phần giữa các chủ sở hữu hoặc cổ đông,Chương 13 (bổ sung),approved,Source: glossary.md — Chương 13 (bổ sung)
contractual agreement,contractual agreement,thỏa thuận hợp đồng,thỏa thuận hợp đồng,legally binding agreement between parties outlining rights and obligations,"thỏa thuận có tính ràng buộc pháp lý giữa hai hoặc nhiều bên, quy định rõ quyền và nghĩa vụ của các bên liên quan.",Chương 13 (bổ sung),approved,Source: glossary.md — Chương 13 (bổ sung)
advisory board,advisory board,hội đồng cố vấn,hội đồng cố vấn,"group of advisors that helps an organization make strategic decisions about the business, bringing certain knowledge and experience that can bring a new perspective on issues without having the actual authority to vote or govern","nhóm các cố vấn giúp tổ chức đưa ra các quyết định chiến lược về hoạt động kinh doanh, mang đến kiến thức và kinh nghiệm nhất định nhằm cung cấp góc nhìn mới về các vấn đề mà không có quyền biểu quyết hay quyền quản trị chính thức",Chương 14,approved,Source: glossary.md — Chương 14
decision tree,decision tree,cây quyết định,cây quyết định,flowchart diagram used to explore the outcomes of different decisions,sơ đồ dạng lưu đồ được sử dụng để khám phá các kết quả của những quyết định khác nhau,Chương 14,approved,Source: glossary.md — Chương 14
economic factors,economic factors,yếu tố kinh tế,yếu tố kinh tế,"inflation, interest, employment, and currency exchange rates, (among many other factors) that impact the business owner’s pricing of goods or services, the demand for such services, and the cost of production","các yếu tố như lạm phát, lãi suất, việc làm và tỷ giá hối đoái (cùng nhiều yếu tố khác) ảnh hưởng đến việc định giá hàng hóa hoặc dịch vụ của chủ doanh nghiệp, nhu cầu đối với các dịch vụ đó và chi phí sản xuất",Chương 14,approved,Source: glossary.md — Chương 14
funding sources,funding sources,nguồn huy động vốn,nguồn huy động vốn,monetary resources used by the entrepreneur in the operation of the initial startup and early business,các nguồn lực tài chính được doanh nhân sử dụng trong quá trình vận hành giai đoạn khởi nghiệp ban đầu và giai đoạn đầu của doanh nghiệp,Chương 14,approved,Source: glossary.md — Chương 14
human resources,human resources,nguồn nhân lực,nguồn nhân lực,"people hired by the entrepreneur to perform various duties in the business, provide customer service, or produce the goods","những người được doanh nhân tuyển dụng để thực hiện các nhiệm vụ khác nhau trong doanh nghiệp, cung cấp dịch vụ khách hàng hoặc sản xuất hàng hóa",Chương 14,approved,Source: glossary.md — Chương 14
independent contractors,independent contractors,hợp đồng dịch vụ,hợp đồng dịch vụ,"(also, freelancer) people or businesses that provide work similar to an employee without being part of the payroll for the contracting business, and who pay their own taxes and pay for their own benefits","(còn gọi là freelancer) các cá nhân hoặc doanh nghiệp cung cấp công việc tương tự như nhân viên nhưng không thuộc biên chế trả lương của doanh nghiệp thuê họ, và tự chịu trách nhiệm nộp thuế cũng như chi trả các phúc lợi của mình",Chương 14,approved,Source: glossary.md — Chương 14
intangible resources,intangible resources,nguồn lực vô hình,nguồn lực vô hình,"assets that cannot be seen, touched, or felt, such as intellectual property, patents, designs, and processes","các tài sản không thể nhìn thấy, chạm vào hoặc cảm nhận được, như tài sản trí tuệ, bằng sáng chế, thiết kế và quy trình",Chương 14,approved,Source: glossary.md — Chương 14
line of credit,line of credit,hạn mức tín dụng,hạn mức tín dụng,lending of funds in exchange for a promise to repay,việc cho vay vốn để đổi lấy cam kết hoàn trả,Chương 14,approved,Source: glossary.md — Chương 14
pest framework,PEST framework,mô hình PEST,mô hình PEST,"framework that can be used to distinguish political, economic, sociocultural, and technological factors influencing access to needed resources","mô hình được sử dụng để phân biệt các yếu tố chính trị, kinh tế, xã hội–văn hóa và công nghệ ảnh hưởng đến khả năng tiếp cận các nguồn lực cần thiết",Chương 14,approved,Source: glossary.md — Chương 14
political factors,political factors,yếu tố chính trị,yếu tố chính trị,"stem from changes in politics, such as the policies of a new presidential administration or congressional legislation, as well as of state and local offices","phát sinh từ những thay đổi trong chính trị, chẳng hạn như các chính sách của chính quyền mới hoặc các đạo luật của cơ quan lập pháp, cũng như từ cấp bang và địa phương",Chương 14,approved,Source: glossary.md — Chương 14
pre-launch costs,pre-launch costs,chi phí trước vận hành,chi phí trước vận hành,cost of all the resources needed to open the business to the public,chi phí của toàn bộ các nguồn lực cần thiết để đưa doanh nghiệp ra hoạt động công khai,Chương 14,approved,Source: glossary.md — Chương 14
quota,quota,hạn ngạch,hạn ngạch,"specific number of units allowed into a country; sometimes quotas are limited to one source, such as one country, and sometimes the limit is placed on aggregate quantity regardless of source(s)","số lượng đơn vị cụ thể được phép nhập vào một quốc gia; đôi khi hạn ngạch chỉ áp dụng cho một nguồn, chẳng hạn như một quốc gia, và đôi khi giới hạn được áp dụng cho tổng số lượng bất kể nguồn",Chương 14,approved,Source: glossary.md — Chương 14
resource dependence theory (rdt) model,resource dependence theory (RDT) model,lý thuyết phụ thuộc nguồn lực,lý thuyết phụ thuộc nguồn lực,"model creating networks with business partners through mergers, vertical integration, joint ventures, or engaging in joint political activities to slow dependency among member groups","mô hình tạo lập mạng lưới với các đối tác kinh doanh thông qua sáp nhập, tích hợp dọc, liên doanh hoặc tham gia các hoạt động chính trị chung nhằm giảm sự phụ thuộc giữa các nhóm thành viên",Chương 14,approved,Source: glossary.md — Chương 14
service mark,service mark,nhãn hiệu dịch vụ,nhãn hiệu dịch vụ,"word, phrase, symbol, or graphic that identifies the origin or source of a service","từ, cụm từ, biểu tượng hoặc hình ảnh xác định nguồn gốc của một dịch vụ",Chương 14,approved,Source: glossary.md — Chương 14
sociocultural factors,sociocultural factors,yếu tố văn hóa-xã hội,yếu tố văn hóa-xã hội,changes in how society is moving and the direction of that movement as it relates to a customer base and potential new markets,những thay đổi trong cách xã hội vận động và hướng đi của sự vận động đó liên quan đến tập khách hàng và các thị trường tiềm năng mới,Chương 14,approved,Source: glossary.md — Chương 14
tangible resources,tangible resources,nguồn lực hữu hình,nguồn lực hữu hình,"assets that have a physical form as they can be seen, touched, and felt","các tài sản có hình thái vật lý, có thể nhìn thấy, chạm và cảm nhận",Chương 14,approved,Source: glossary.md — Chương 14
tariffs,tariffs,thuế quan,thuế quan,taxes or duties that are added to imported goods from another nation,các loại thuế hoặc phí áp dụng lên hàng hóa nhập khẩu từ quốc gia khác,Chương 14,approved,Source: glossary.md — Chương 14
technological factors,technological factors,yếu tố công nghệ,yếu tố công nghệ,technological equipment and tools the enterprise needs to be sure it operates efficiently,các thiết bị và công cụ công nghệ mà doanh nghiệp cần để đảm bảo hoạt động hiệu quả,Chương 14,approved,Source: glossary.md — Chương 14
resource optimization,resource optimization,tối ưu hóa nguồn lực,tối ưu hóa nguồn lực,efficient allocation and utilization of resources to maximize output or value,quá trình phân bổ và sử dụng nguồn lực một cách hiệu quả nhằm tối đa hóa giá trị hoặc kết quả,Chương 14 (bổ sung),approved,Source: glossary.md — Chương 14 (bổ sung)
capacity utilization,capacity utilization,mức độ sử dụng công suất,mức độ sử dụng công suất,extent to which an organization uses its production capacity,mức độ mà doanh nghiệp sử dụng công suất sản xuất hiện có,Chương 14 (bổ sung),approved,Source: glossary.md — Chương 14 (bổ sung)
operational efficiency,operational efficiency,hiệu suất vận hành,hiệu suất vận hành,ability to deliver outputs with minimal waste and optimal resource use,khả năng vận hành với mức lãng phí tối thiểu và sử dụng nguồn lực tối ưu,Chương 14 (bổ sung),approved,Source: glossary.md — Chương 14 (bổ sung)
resource constraints,resource constraints,hạn chế nguồn lực,hạn chế nguồn lực,limitations on available resources that restrict operations or growth,"những giới hạn về mức độ sẵn có của các nguồn lực chủ chốt—như vốn, lao động, thời gian, công nghệ hoặc nguyên vật liệu—làm hạn chế khả năng vận hành, tăng trưởng hoặc đạt được mục tiêu của doanh nghiệp.",Chương 14 (bổ sung),approved,Source: glossary.md — Chương 14 (bổ sung)
buyback clause,buyback clause,điều khoản mua lại,điều khoản mua lại,legal agreement regarding an exit by a founding team member prior to the harvesting of the venture,thỏa thuận pháp lý liên quan đến việc một thành viên sáng lập rút lui trước khi doanh nghiệp thu được thành quả,Chương 15,approved,Source: glossary.md — Chương 15
code of conduct,code of conduct,quy tắc ứng xử,quy tắc ứng xử,formal statement that provides guidance on how ethical conduct is demonstrated,tuyên bố chính thức cung cấp hướng dẫn về cách thể hiện hành vi đạo đức,Chương 15,approved,Source: glossary.md — Chương 15
company culture,company culture,văn hóa công ty,văn hóa công ty,"shared beliefs, values and assumptions held by people regarding how to behave or conduct themselves within the context of fitting into an organization","các niềm tin, giá trị và giả định chung của mọi người về cách hành xử hoặc cư xử để phù hợp trong một tổ chức",Chương 15,approved,Source: glossary.md — Chương 15
delphi method,Delphi method,phương pháp Delphi,phương pháp Delphi,"group decision-making process that includes a diverse group of people who are located at different locations and willing to respond to a series of questionnaires to assist in providing ideas, information or solutions to a defined question or problem","phương pháp ra quyết định nhóm gồm nhiều người đa dạng ở các địa điểm khác nhau, sẵn sàng trả lời một loạt bảng câu hỏi để hỗ trợ đưa ra ý tưởng, thông tin hoặc giải pháp cho một câu hỏi hoặc vấn đề xác định",Chương 15,approved,Source: glossary.md — Chương 15
